sku_id,dt,page_price,discount_price,change_flag,day_of_week,month,price_diff,price_change,significant_change
186430,2025-04-30,139.0,0,1,2,4,,0.0,0
187698,2025-04-30,38.9,0,1,2,4,,0.0,0
188029,2025-04-30,15.9,0,1,2,4,,0.0,0
188031,2025-04-30,55.0,0,1,2,4,,0.0,0
188490,2025-04-30,30.7,0,1,2,4,,0.0,0
188549,2025-04-30,26.0,0,1,2,4,,0.0,0
188550,2025-04-30,29.9,0,1,2,4,,0.0,0
188565,2025-04-30,39.0,0,1,2,4,,0.0,0
188572,2025-04-30,33.9,0,1,2,4,,0.0,0
189575,2025-04-30,28.0,0,1,2,4,,0.0,0
189580,2025-04-30,28.0,0,1,2,4,,0.0,0
195432,2025-04-30,39.9,0,1,2,4,,0.0,0
195823,2025-04-30,19.0,0,1,2,4,,0.0,0
195849,2025-04-30,27.0,0,1,2,4,,0.0,0
195943,2025-04-30,22.0,0,1,2,4,,0.0,0
196019,2025-04-30,31.9,0,1,2,4,,0.0,0
198553,2025-04-30,36.0,0,1,2,4,,0.0,0
206942,2025-04-30,13.8,0,1,2,4,,0.0,0
218795,2025-04-30,26.9,0,1,2,4,,0.0,0
218796,2025-04-30,26.9,0,1,2,4,,0.0,0
226525,2025-04-30,24.9,0,1,2,4,,0.0,0
226527,2025-04-30,53.9,0,1,2,4,,0.0,0
226531,2025-04-30,29.9,0,1,2,4,,0.0,0
229809,2025-04-30,68.0,0,1,2,4,,0.0,0
230820,2025-04-30,52.0,0,1,2,4,,0.0,0
230860,2025-04-30,52.8,0,1,2,4,,0.0,0
230861,2025-04-30,9.9,0,1,2,4,,0.0,0
230864,2025-04-30,17.0,0,1,2,4,,0.0,0
231023,2025-04-30,16.9,0,1,2,4,,0.0,0
231028,2025-04-30,23.8,0,1,2,4,,0.0,0
231035,2025-04-30,16.9,1,1,2,4,15.899999999999999,0.0,0
231043,2025-04-30,16.9,0,1,2,4,,0.0,0
231406,2025-04-30,24.9,0,1,2,4,,0.0,0
231407,2025-04-30,36.8,0,1,2,4,,0.0,0
231413,2025-04-30,11.8,0,1,2,4,,0.0,0
231415,2025-04-30,24.9,0,1,2,4,,0.0,0
231450,2025-04-30,25.9,0,1,2,4,,0.0,0
231478,2025-04-30,36.9,0,1,2,4,,0.0,0
231481,2025-04-30,39.9,0,1,2,4,,0.0,0
231635,2025-04-30,17.01,0,1,2,4,,0.0,0
231827,2025-04-30,12.9,0,1,2,4,,0.0,0
231907,2025-04-30,38.0,0,1,2,4,,0.0,0
235162,2025-04-30,69.89,0,1,2,4,,0.0,0
246618,2025-04-30,49.9,0,1,2,4,,0.0,0
255628,2025-04-30,290.0,0,1,2,4,,0.0,0
255654,2025-04-30,290.0,0,1,2,4,,0.0,0
255673,2025-04-30,290.0,0,1,2,4,,0.0,0
255976,2025-04-30,35.8,0,1,2,4,,0.0,0
262009,2025-04-30,34.9,0,1,2,4,,0.0,0
264612,2025-04-30,290.0,0,1,2,4,,0.0,0
269387,2025-04-30,24.5,0,1,2,4,,0.0,0
274646,2025-04-30,19.9,0,1,2,4,,0.0,0
274659,2025-04-30,19.9,0,1,2,4,,0.0,0
276056,2025-04-30,19.8,0,1,2,4,,0.0,0
276062,2025-04-30,19.8,0,1,2,4,,0.0,0
276063,2025-04-30,34.9,0,1,2,4,,0.0,0
276067,2025-04-30,30.9,0,1,2,4,,0.0,0
276072,2025-04-30,26.9,0,1,2,4,,0.0,0
285196,2025-04-30,52.5,0,1,2,4,,0.0,0
285215,2025-04-30,72.0,0,1,2,4,,0.0,0
290461,2025-04-30,24.9,0,1,2,4,,0.0,0
293418,2025-04-30,65.0,0,1,2,4,,0.0,0
298040,2025-04-30,78.0,0,1,2,4,,0.0,0
307516,2025-04-30,570.0,0,1,2,4,,0.0,0
